Time resolution is 1 ps
[13030000 ns] led_out = 1111111111110000
[13050000 ns] led_out = 1111111111100000
[13070000 ns] led_out = 1111111111000000
[13090000 ns] led_out = 1111111110000000
[13110000 ns] led_out = 1111111100000000
[13130000 ns] led_out = 1111111110000000
[13150000 ns] led_out = 1111111111000000
[13170000 ns] led_out = 1111111111100000
[13190000 ns] led_out = 1111111111110000
[13210000 ns] led_out = 1111111111100000
[13230000 ns] led_out = 1111111111000000
[13250000 ns] led_out = 1111111110000000
[13270000 ns] led_out = 1111111100000000
[13290000 ns] led_out = 1111111000000000
[13310000 ns] led_out = 1111110000000000
[13330000 ns] led_out = 1111100000000000
[13350000 ns] led_out = 1111000000000000
[13370000 ns] led_out = 1111100000000000
[13390000 ns] led_out = 1111110000000000
[13410000 ns] led_out = 1111111000000000
[13430000 ns] led_out = 1111111100000000
[13450000 ns] led_out = 1111111000000000
[13470000 ns] led_out = 1111110000000000
[13490000 ns] led_out = 1111100000000000
[13510000 ns] led_out = 1111000000000000
[13530000 ns] led_out = 1110000000000000
[13550000 ns] led_out = 1100000000000000
[13570000 ns] led_out = 1000000000000000
[13590000 ns] led_out = 0000000000000000
[13610000 ns] led_out = 1000000000000000
[13630000 ns] led_out = 1100000000000000
[13650000 ns] led_out = 1110000000000000
[13670000 ns] led_out = 1111000000000000
[13690000 ns] led_out = 1110000000000000
[13710000 ns] led_out = 1100000000000000
[13730000 ns] led_out = 1000000000000000
[13750000 ns] led_out = 0000000000000000
[13770000 ns] led_out = 0000000000000001
[13790000 ns] led_out = 0000000000000011
[13810000 ns] led_out = 0000000000000111
[13830000 ns] led_out = 0000000000001111
[13850000 ns] led_out = 0000000000000111
[13870000 ns] led_out = 0000000000000011
[13890000 ns] led_out = 0000000000000001
[13910000 ns] led_out = 0000000000000000
[13930000 ns] led_out = 0000000000000001
[13950000 ns] led_out = 0000000000000011
[13970000 ns] led_out = 0000000000000111
[13990000 ns] led_out = 0000000000001111
[14010000 ns] led_out = 0000000000011111
[14030000 ns] led_out = 0000000000111111
[14050000 ns] led_out = 0000000001111111
[14070000 ns] led_out = 0000000011111111
[14090000 ns] led_out = 0000000001111111
[14110000 ns] led_out = 0000000000111111
[14130000 ns] led_out = 0000000000011111
[14150000 ns] led_out = 0000000000001111
[14170000 ns] led_out = 0000000000011111
[14190000 ns] led_out = 0000000000111111
[14210000 ns] led_out = 0000000001111111
